FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,ProcessedBy,RakerNum,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180240,Ruth,3.17,N,66.32,13.98,15,F,Grant,,,,,,,,,,,,,
S180239,Ruth,2.78,N,62.45,14.66,15.52,F,Grant,4.12,8.35,Grant,19,,,,,,,,,
S180401,Jean,0.9,N,43.25,10.49,11.16,M,Louis,,,,,,,,,,,,,
S180402,Jean,1.74,N,50.49,12.62,13,F,Louis,,,,,,,,,,,,,
S180403,Jean,1,N,44.73,11.06,10.69,F,Louis,,,,,,,,,,,,,
S180404,Jean,1,N,46.05,10.75,10.99,F,Louis,,,,,,,,,,,,,
S180405,Jean,0.82,N,41.6,9.19,10.92,M,Louis,,,,,,,,,,,,,
S180406,Jean,0.67,N,39.79,9.68,9.76,M,Louis,,,,,,,,,,,,,
S180407,Jean,0.7,N,41.52,9.4,9.73,F,Louis,,,,,,,,,,,,,
S180408,Jean,0.77,N,41.56,9.94,9.22,F,Louis,,,,,,,,,,,,,
S180409,Jean,1.08,N,47.22,10.75,12.37,M,Louis,,,,,,,,,,,,,
S180410,Jean,0.72,N,39.62,9.6,10.24,F,Louis,,,,,,,,,,,,,
S180574,Spirit,0.45,N,37.28,6.48,9.15,U,Louis,,,,,,,,,,,,,
S180573,Spirit,0.63,N,41.31,7.68,9.57,M,Louis,2.17,4.71,Grant,22,,,,,,,,,
S180572,Spirit,0.85,N,44.25,8.06,10.72,M,Louis,2.46,5.25,Grant,19,,,,,,,,,
S180571,Spirit,0.43,N,39.27,7.19,8.06,F,Louis,2.08,4.32,Grant,,,,,,,,,,
S180570,Spirit,1.03,N,53.87,10.01,12.1,F,Louis,3.01,5.81,Grant,19,,,,,,,,,
S180569,Spirit,0.84,N,45.81,9.63,10.43,F,Louis,2.32,5.12,Grant,,,,,,,,,,
S180568,Spirit,1.38,N,52.21,11.12,11.54,F,Louis,3.04,6.29,Grant,,,,,,,,,,
S180567,Spirit,1.12,N,48.34,10.36,10.86,F,Louis,2.4,5.9,Grant,21,,,,,,,,,
S180566,Spirit,2.15,N,60.4,13.01,13.73,F,Louis,3.71,7.23,Grant,,,,,,,,,,No pelvic spines
S180565,Spirit,0.33,N,33.69,6.85,7.49,U,Louis,1.52,3.8,Grant,20,,,,,,,,,
S180774,Walby,1.13,N,47.76,10.55,10.63,F,Louis,1.62,4.24,Grant,,,,,,,,,,
S180775,Walby,0.66,N,42.96,8.26,8.52,F,Louis,,,,,,,,,,,,,
S180776,Walby,0.62,N,40.33,8.9,9.97,F,Louis,,,,,,,,,,,,,
S180777,Walby,0.61,N,39.52,8.83,9.65,F,Louis,,,,,,,,,,,,,
S180770,Walby,0.35,N,36.01,7.24,8.02,F,Louis,,,,,,,,,,,,,
S180771,Walby,0.89,N,45.94,9.28,11.4,M,Louis,,,,,,,,,,,,,
