FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,RakerNum,ProcessedBy,Scale ,Caudal Peduncle depth PINK ,Mouth Length  YELLOW ,Snout Length DARK BLUE,Eye Length GREEN ,Head length RED ,Standard Length BLACK ,Caudal peduncle,Jaw Length,Snout Length,Eye Diameter,Head Length,SL,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180162,Arc,2.67,N,59.63,14,12.21,F,Bailey,2.46,6.22,19,Grant,1926.34,91.55,141.61,154,177.14,639.01,2449.01,0.237626795,0.36756232,0.399721752,0.459783839,1.658611668,6.356640053,,,,,,,,,
S180163,Arc,2.78,N,60.88,14.33,12.76,F,Bailey,,,,,1912.42,90.55,128.14,152.4,187.22,669.01,2465.57,0.236741929,0.33502055,0.39844804,0.489484528,1.749118917,6.446204286,,,,,,,,,
S180164,Arc,0.95,N,42.47,9.83,8.85,F,Bailey,,,,,1928.02,68.08,96.72,103.47,140.77,444.29,1752.26,0.176554185,0.250827274,0.268332279,0.36506364,1.152192405,4.5441956,,,,,,,,,
S180165,Arc,0.98,N,46.72,10.07,8.67,F,Bailey,,,,,1920.76,73.35,99.07,119.34,137.03,478,1884.24,0.190940045,0.257892709,0.310658281,0.356707762,1.244299132,4.904933464,,,,,,,,,
S180166,Arc,1.56,N,50.87,12.03,10.78,M,Bailey,,,,,1914.94,86.88,116.76,146.34,169.61,574.06,2078.5,0.226847839,0.304865949,0.382100745,0.442859829,1.498898138,5.427062989,,,,,,,,,
S180167,Arc,2.62,N,61.06,13.64,14.19,M,Bailey,3.68,6.72,24,Grant,1920.6,101.07,173.81,187.17,195.25,711.23,2441.06,0.2631209,0.452488806,0.487269603,0.508304696,1.851582839,6.354941164,,,,,,,,,
S180168,Arc,0.75,N,45.17,8.99,8.79,F,Bailey,,,,,1928.15,67.48,98.17,120.78,147.47,464.28,1864.15,0.174986386,0.254570443,0.313201774,0.382413194,1.203951975,4.834037808,,,,,,,,,
S180169,Arc,2.31,N,56.81,13.14,13.12,M,Bailey,3.3,6.54,25,Grant,1936.15,100.32,150.08,190.09,190.43,711.23,2424.21,0.259070837,0.387573277,0.490896883,0.491774914,1.836712032,6.260387883,,,,,,,,,
S180170,Arc,2.17,N,58.21,13.98,12.84,M,Bailey,,,,,1920.27,104.92,153.61,188.7,204.07,732.07,2433.59,0.273190749,0.399969796,0.491337156,0.53135757,1.906164237,6.336582876,,,,,,,,,
S180171,Arc,1.4,N,50.3,11.84,11.52,M,Grant,,,,,1872.02,95.02,146.49,163,173.22,624.12,2112.24,0.253790024,0.391261846,0.435358597,0.462655314,1.66696937,5.641606393,,,,,,,,,
S180172,Arc,1.16,N,45.31,10.28,8.81,F,Grant,,,,,1872.15,68.47,100.98,105.69,141.61,427.06,1851.51,0.182864621,0.269689929,0.282269049,0.378201533,1.140560318,4.944876212,,,,,,,,,
S180173,Arc,1.15,N,45.91,10.37,8.98,F,Grant,2.34,4.85,20,Grant,1854.01,70.03,104.14,115,141.21,456.07,1836,0.188860902,0.280850697,0.310138565,0.380823189,1.22995561,4.951429604,,,,,,,,,
S180174,Arc,2.26,N,61.63,13.78,11.21,F,Grant,,,,,1854.35,95.13,129.33,156.02,175.15,648.03,2458.2,0.256504975,0.348720576,0.420686494,0.472267911,1.74732386,6.62819856,,,,,,,,,
S180175,Arc,2.16,N,60.28,13.93,12.33,M,Grant,,,,,1872.02,101.08,144.62,192.02,188.04,705.16,2393.64,0.269975748,0.386267241,0.512868452,0.502238224,1.883420049,6.393200927,,,,,,,,,
S180176,Arc,2.06,N,56.34,13.32,12.39,M,Grant,,,,,1880.07,99.98,153.05,173.01,185.04,662.05,2235.67,0.265894355,0.407032717,0.460115847,0.492109336,1.760705718,5.945709468,,,,,,,,,
S180177,Arc,1.06,N,43.14,10.14,7.68,F,Grant,,,,,1872.15,63.07,90.7,100.4,133.69,430.38,1754.32,0.1684427,0.242234864,0.268140908,0.357049382,1.149427129,4.685308335,,,,,,,,,
S180178,Arc,0.75,N,44.99,9.18,8.89,F,Grant,,,,,1864.62,65.33,107.07,119,140.25,454.36,1800.44,0.175183147,0.287109438,0.31909987,0.37608199,1.218371572,4.827900591,,,,,,,,,
S180179,Arc,0.94,N,39.77,9.88,8.47,M,Grant,,,,,1880.02,69.06,111.74,134.01,141.03,510,1758.83,0.183668259,0.29717769,0.356405783,0.375075797,1.356368549,4.677689599,,,,,,,,,
S180180,Arc,1.06,N,44.1,10.8,9.38,M,Grant,,,,,1880.02,78.64,122.98,155.91,158.45,560.06,1913.66,0.209146711,0.327070989,0.414649844,0.421405091,1.489505431,5.089467133,,,,,,,,,
S180181,Arc,0.6,N,40.04,9.22,7.47,F,Louis,,,,,1881.83,66,86.83,109.79,133.51,431.36,1620.01,0.175361218,0.230706281,0.291710728,0.354734487,1.146118406,4.304347364,,,,,,,,,
S180182,Arc,2.37,N,61.6,16.17,11.21,F,Louis,,,,,1884.04,96.59,150.6,162.08,175.82,620.03,2470.2,0.256337445,0.399673043,0.430139488,0.466603682,1.645479926,6.5555933,,,,,,,,,
S180183,Arc,1.57,N,52.09,12.49,10.9,M,Louis,,,,,1879.16,90.69,141.65,177.87,182.52,658.58,2113.03,0.241304626,0.376897124,0.473269972,0.485642521,1.752325507,5.622272718,,,,,,,,,
S180184,Arc,0.61,N,39.66,9.26,8.39,U,Louis,,,,,1873.13,63.15,102.8,105.04,144.31,462.67,1581.3,0.168568119,0.274407009,0.280386305,0.38521085,1.235018392,4.221009754,,,,,,,,,Yellow mucus in the abdomen
S180185,Arc,0.79,N,44.44,10.77,8.84,F,Louis,,,,,1876.11,66.72,108.27,116.67,141.89,498.88,1837.66,0.177814734,0.288549179,0.310935926,0.378149469,1.329559567,4.89752733,,,,,,,,,
S180186,Arc,0.69,N,43.52,9.63,8.64,F,Louis,,,,,1880.63,66.27,100.06,107.1,141.74,451.96,1775.76,0.176190957,0.266027874,0.284745006,0.376841803,1.201618607,4.721183859,,,,,,,,,
S180187,Arc,0.59,N,39.74,9.34,8.71,F,Louis,,,,,1868.69,64.01,102.69,108.87,131.39,429.35,1566.01,0.171269713,0.274764675,0.291300323,0.351556438,1.148799426,4.190127844,,,,,,,,,
S180188,Arc,0.69,N,43.98,9.94,8.9,F,Louis,,,,,1860.78,65.61,88.84,119.6,139.55,453.34,1770.65,0.176297037,0.238717097,0.321370608,0.37497716,1.218145079,4.757816615,,,,,,,,,
S180189,Arc,0.83,N,44.17,10.08,8.55,F,Louis,,,,,1865.57,70.81,110,124.78,138.62,504.04,1792.87,0.189781139,0.294816062,0.33442862,0.371521841,1.350900797,4.805153385,,,,,,,,,
S180190,Arc,0.64,N,40.25,9.23,8.76,M,Louis,,,,,1866.87,71.89,106.32,108.63,125.87,439.16,1604.87,0.192541527,0.284754696,0.290941522,0.337115064,1.176193308,4.298290722,,,,,,,,,
S180191,Arc,0.6,N,39.56,8.51,7.28,F,Grant,,,,,1884.61,58.06,100.2,113.44,126.81,428.8,1715.86,0.154037175,0.265837494,0.300964125,0.336435655,1.137635903,4.552294639,,,,,,,,,
S180192,Arc,0.83,N,44.62,9.51,8.6,F,Grant,,,,,1872.84,64.09,105.39,115,136.78,460.05,1806.07,0.171103778,0.281364132,0.307020354,0.365167339,1.228214904,4.821741313,,,,,,,,,
